time,bandwidth(bps),delay(ms),loss(percent),jitter(ms^2)
1537414463.2062,100483223.812322,0.212,0,0.087
1537414523.2062,99420015.680163,0.220,0,0.071
1537414583.2062,99454996.249507,0.216,0,0.064
1537414643.2062,100498601.837126,0.197,0,0.060
1537414703.2062,100533139.686436,0.228,0,0.083
1537414763.2062,100544211.533661,0.206,0,0.056
1537414823.2062,101008772.077406,0.224,0,0.065
1537414883.2062,100498793.493295,0.192,0,0.048
1537414943.2062,99445253.252504,0.233,0,0.085
1537415003.2062,100502914.277756,0.228,0,0.084
1537415063.2062,99424280.285754,0.198,0,0.066
1537415123.2062,100461625.876353,0.217,0,0.064
1537415183.2062,99457177.425184,0.175,0,0.049
1537415243.2062,99957793.111599,0.247,0,0.062
1537415303.2062,99446035.466452,0.223,0,0.102
1537415363.2062,99444968.814119,0.196,0,0.075
1537415423.2062,100497667.523767,0.214,0,0.074
1537415483.2062,100464331.095746,0.182,0,0.063
1537415543.2062,100484133.907051,0.217,0,0.070
1537415603.2062,100491870.377919,0.209,0,0.056
1537415663.2062,100465240.848277,0.196,0,0.078
1537415723.2062,100521615.094137,0.190,0,0.050
1537415783.2062,99451511.308659,0.180,0,0.066
1537415843.2062,99447362.887977,0.203,0,0.080
1537415903.2062,100472184.239251,0.217,0,0.060
1537415963.2062,100992234.599592,0.189,0,0.067
1537416023.2062,99460567.920789,0.225,0,0.036
1537416083.2062,100976568.710655,0.181,0,0.046
1537416143.2062,99937737.847741,0.217,0,0.068
1537416203.2062,99459192.726875,0.200,0,0.088
1537416263.2062,101023361.634192,0.182,0,0.056
1537416323.2062,100503728.891431,0.206,0,0.072
1537416383.2062,100501213.215307,0.207,0,0.064
1537416443.2062,99960008.735329,0.196,0,0.054
1537416503.2062,99420205.210421,0.189,0,0.062
1537416563.2062,100485738.587918,0.216,0,0.056
1537416623.2062,100483319.610991,0.212,0,0.097
1537416683.2062,100977073.986050,0.207,0,0.079
1537416743.2062,99418807.441757,0.189,0,0.093
1537416803.2062,100988480.118856,0.212,0,0.084
1537416863.2062,100497284.220749,0.184,0,0.074
1537416923.2062,99461374.086626,0.194,0,0.058
